plantId,behavior,param,value
5,SUN_BURST,effectDisplayTicks,5
30,MINE,armDelayTicks,150
30,MINE,explosionRadius,0
30,MINE,plantFoodCloneCount,2
30,MINE,effectDisplayTicks,5
31,MINE,armDelayTicks,50
31,MINE,explosionRadius,1
31,MINE,plantFoodCloneCount,2
31,MINE,effectDisplayTicks,5
32,INSTANT_BLAST,explosionRadius,1
32,INSTANT_BLAST,effectDisplayTicks,5
33,SQUASH,scanDistanceTiles,1
33,SQUASH,plantFoodTargetCount,2
33,SQUASH,effectDisplayTicks,5
34,GRAPESHOT,explosionRadius,1
34,GRAPESHOT,grapeDamage,10
34,GRAPESHOT,maxBounces,5
34,GRAPESHOT,maxLifetimeTicks,50
34,GRAPESHOT,stepIntervalTicks,1
34,GRAPESHOT,effectDisplayTicks,5
35,ROW_BLAST,effectDisplayTicks,5
36,GLOBAL_BLAST,craterDurationTicks,1800
36,GLOBAL_BLAST,effectDisplayTicks,5
37,TANGLE_KELP,plantFoodTargetCount,3
37,TANGLE_KELP,effectDisplayTicks,5
38,FREEZE_TRAP,freezeDurationTicks,100
38,FREEZE_TRAP,effectDisplayTicks,5
57,GLOBAL_FREEZE,freezeDurationTicks,100
57,GLOBAL_FREEZE,effectDisplayTicks,5
59,TILE_MELT,effectDisplayTicks,5
60,TOMBSTONE_DESTROY,effectDisplayTicks,5
39,BONK_CHOY,rangeTiles,1
39,BONK_CHOY,plantFoodRadius,1
39,BONK_CHOY,plantFoodHitCount,8
39,BONK_CHOY,plantFoodDamageMultiplier,1
40,PHAT_BEET,rangeTiles,1
40,PHAT_BEET,plantFoodRadius,1
40,PHAT_BEET,plantFoodDamageMultiplier,4
41,CHOMPER,rangeTiles,1
41,CHOMPER,digestTicks,400
41,CHOMPER,plantFoodTargetCount,3
41,CHOMPER,plantFoodRangeTiles,3
42,WASABI_WHIP,rangeTiles,1
42,WASABI_WHIP,plantFoodRadius,1
42,WASABI_WHIP,plantFoodHitCount,1
42,WASABI_WHIP,plantFoodDamageMultiplier,4
43,KIWIBEAST,rangeTiles,1
43,KIWIBEAST,plantFoodRadius,1
43,KIWIBEAST,plantFoodDamageMultiplier,4
43,KIWIBEAST,plantFoodGrowthStage,3
43,KIWIBEAST,stageTwoTicks,240
43,KIWIBEAST,stageThreeTicks,720
43,KIWIBEAST,stageTwoDamage,30
43,KIWIBEAST,stageThreeDamage,45
14,CAULIPOWER,projectileSpeedTilesPerSecond,2
14,CAULIPOWER,plantFoodTargetCount,5
15,ELECTRIC_BLUEBERRY,projectileSpeedTilesPerSecond,2
15,ELECTRIC_BLUEBERRY,plantFoodTargetCount,3
55,CAT_TAIL,projectileSpeedTilesPerSecond,2
55,CAT_TAIL,plantFoodProjectileCount,8
55,CAT_TAIL,plantFoodProjectileIntervalTicks,1
58,LILY_PAD,plantFoodCloneCount,4
52,TORCHWOOD,peaDamageMultiplier,2
52,TORCHWOOD,plantFoodPeaDamageMultiplier,3
52,TORCHWOOD,plantFoodBlueFlameDurationTicks,600
