plantId,targetLevel,type,value,sourceText
1,2,ACTION_INTERVAL_SECONDS_ADD,-2.0,Prod. Time -2s
1,3,HEALTH_ADD,150.0,HP +150
1,4,SUN_DOUBLE_CHANCE_ADD,0.25,Double Sun Chance
2,2,ACTION_INTERVAL_SECONDS_ADD,-2.0,Prod. Time -2s
2,3,HEALTH_ADD,150.0,HP +150
2,4,COST_ADD,-25.0,Cost -25
3,2,SUN_SHROOM_GROW_SECONDS_ADD,-5.0,Grow Time -5s
3,3,HEALTH_ADD,150.0,HP +150
3,4,SUN_DOUBLE_CHANCE_ADD,0.25,Double Sun Chance
4,2,ACTION_INTERVAL_SECONDS_ADD,-2.0,Prod. Time -2s
4,3,HEALTH_ADD,150.0,HP +150
4,4,COST_ADD,-25.0,Cost -25
5,2,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
5,3,SUN_BURST_TOTAL_ADD,50.0,Sun +50
5,4,COST_ADD,-25.0,Cost -25
6,2,DAMAGE_ADD,10.0,Dmg +10
6,3,HEALTH_ADD,150.0,HP +150
6,4,COST_ADD,-25.0,Cost -25
7,2,DAMAGE_ADD,10.0,Dmg +10
7,3,HEALTH_ADD,200.0,HP +200
7,4,COST_ADD,-25.0,Cost -25
8,2,COST_ADD,-25.0,Cost -25
8,3,DAMAGE_ADD,10.0,Dmg +10
8,4,HEALTH_ADD,200.0,HP +200
9,2,DAMAGE_ADD,10.0,Dmg +10
9,3,CHILL_SECONDS_ADD,2.0,Chill Time +2s
9,4,COST_ADD,-25.0,Cost -25
10,2,DAMAGE_ADD,10.0,Dmg +10
10,3,HEALTH_ADD,150.0,HP +150
10,4,COST_ADD,-25.0,Cost -25
11,2,DAMAGE_ADD,10.0,Dmg +10
11,3,HEALTH_ADD,200.0,HP +200
11,4,COST_ADD,-25.0,Cost -25
12,2,DAMAGE_ADD,10.0,Dmg +10
12,3,HEALTH_ADD,200.0,HP +200
12,4,COST_ADD,-25.0,Cost -25
13,2,ACTION_INTERVAL_SECONDS_ADD,-1.0,Charge Time -1s
13,3,DAMAGE_ADD,150.0,Dmg +150
13,4,COST_ADD,-50.0,Cost -50
14,2,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
14,3,HEALTH_ADD,150.0,HP +150
14,4,COST_ADD,-50.0,Cost -50
15,2,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
15,3,HOMING_PRIORITY_MODE,1,Target Priority Up
15,4,COST_ADD,-25.0,Cost -25
16,2,BOWLING_REGEN_SECONDS_ADD,-1.0,Regen -1s
16,3,DAMAGE_ADD,15.0,Dmg +15
16,4,COST_ADD,-25.0,Cost -25
17,2,CACTUS_PIERCE_ADD,1.0,Pierce +1
17,3,DAMAGE_ADD,10.0,Dmg +10
17,4,COST_ADD,-25.0,Cost -25
18,2,DAMAGE_ADD,10.0,Dmg +10
18,3,HEALTH_ADD,200.0,HP +200
18,4,COST_ADD,-25.0,Cost -25
