zombieId,behavior,param,value
ZombieTombRaiser,TOMB_SPAWN,intervalSeconds,6
ZombieTombRaiser,TOMB_SPAWN,tombsPerCast,2
ZombieGargantuar,GARGANTUAR,throwHealthRatio,0.5
ZombieGargantuar,GARGANTUAR,impTargetColumn,3
ZombieGargantuar,GARGANTUAR,impZombieId,ZombieImp
ZombieRa,RA_SUN_STEAL,maximumStolenSun,250
ZombieIceAgeDodo,DODO_VAULT,minimumVaultTiles,1
ZombieIceAgeDodo,DODO_VAULT,maximumVaultTiles,2
ZombieIceAgeDodo,DODO_VAULT,minimumObstacleHealth,1000
ZombieIceAgeHunter,HUNTER_ICE,rangeTiles,4
ZombieIceAgeHunter,HUNTER_ICE,hitsToFreeze,3
ZombieIceAgeHunter,HUNTER_ICE,attackIntervalSeconds,3
ZombieIceAgeTroglobite,PUSH_OBSTACLES,obstacleId,ICE_BLOCK
ZombieIceAgeTroglobite,PUSH_OBSTACLES,obstacleName,Ice Block
ZombieIceAgeTroglobite,PUSH_OBSTACLES,obstacleHealth,600
ZombieIceAgeTroglobite,PUSH_OBSTACLES,obstacleCount,3
ZombieIceAgeTroglobite,PUSH_OBSTACLES,spacingTiles,1
ZombieIceAgeTroglobite,PUSH_OBSTACLES,blocksStraightProjectiles,true
ZombieIceAgeTroglobite,PUSH_OBSTACLES,crushesPlants,true
ZombieIceAgeTroglobite,PUSH_OBSTACLES,meltsOnFire,true
ZombieBeachFisherman,FISHERMAN,maximumRange,8
ZombieBeachFisherman,FISHERMAN,pullDistanceTiles,1
ZombieBeachFisherman,FISHERMAN,discardDistanceTiles,1
ZombieBeachFisherman,FISHERMAN,castIntervalSeconds,2.5
ZombieBeachOctopus,OCTOPUS_THROW,rangeTiles,8
ZombieBeachOctopus,OCTOPUS_THROW,attackIntervalSeconds,4
ZombieDarkJuggler,JUGGLER_REFLECT,spinningSpeedMultiplier,1.1
ZombieDarkJuggler,JUGGLER_REFLECT,spinDurationSeconds,2
ZombieWizard,WIZARD_TRANSFORM,castIntervalSeconds,4
ZombieDarkKing,KING_KNIGHT,eligibleZombieId,ZombieDefault
ZombieDarkKing,KING_KNIGHT,columnRange,4
ZombieDarkKing,KING_KNIGHT,rowRange,1
ZombieDarkKing,KING_KNIGHT,castIntervalSeconds,2.5
ZombieDarkKing,KING_KNIGHT,crownArmorId,CROWN
ZombieDarkKing,KING_KNIGHT,crownArmorName,Crown
ZombieDarkKing,KING_KNIGHT,crownHealth,1600
ZombieDarkKing,KING_KNIGHT,crownMetallic,true
ZombieDarkKing,KING_KNIGHT,shoulderArmorId,SHOULDER_ARMOR
ZombieDarkKing,KING_KNIGHT,shoulderArmorName,Shoulder Armor
ZombieDarkKing,KING_KNIGHT,shoulderHealth,1600
ZombieDarkKing,KING_KNIGHT,shoulderMetallic,true
ZombieModernAllStar,ALLSTAR,runningMultiplier,2
ZombieModernAllStar,ALLSTAR,walkingMultiplier,0.5
ZombieArcade,PUSH_OBSTACLES,obstacleId,ARCADE_MACHINE
ZombieArcade,PUSH_OBSTACLES,obstacleName,Arcade Machine
ZombieArcade,PUSH_OBSTACLES,obstacleHealth,1290
ZombieArcade,PUSH_OBSTACLES,obstacleCount,1
ZombieArcade,PUSH_OBSTACLES,spacingTiles,1
ZombieArcade,PUSH_OBSTACLES,blocksStraightProjectiles,true
ZombieArcade,PUSH_OBSTACLES,crushesPlants,true
ZombieArcade,PUSH_OBSTACLES,meltsOnFire,false
ZombieCrystalSkull,TURQUOISE_LASER,detectionRadiusTiles,4
ZombieCrystalSkull,TURQUOISE_LASER,laserRangeTiles,4
ZombieCrystalSkull,TURQUOISE_LASER,sunPerSecond,25
ZombieCrystalSkull,TURQUOISE_LASER,chargingSeconds,5
ZombieCrystalSkull,TURQUOISE_LASER,cooldownSeconds,5
ZombieCrystalSkull,TURQUOISE_LASER,sunDropRatio,0.5
ZombieProspector,PROSPECTOR,launchDelaySeconds,10
ZombieProspector,PROSPECTOR,launchTargetColumn,1
ZombiePiano,PIANO_LANE_SHIFT,shiftIntervalSeconds,3
ZombiePiano,PIANO_LANE_SHIFT,laneShiftTiles,1
ZombieNewspaper,NEWS_ENRAGE,speedMultiplier,4
ZombieNewspaper,NEWS_ENRAGE,damageMultiplier,4
ZombieNewspaper,NEWS_ENRAGE,triggerArmorId,NEWSPAPER
ZombieBarrelRoller,PUSH_OBSTACLES,obstacleId,BARREL
ZombieBarrelRoller,PUSH_OBSTACLES,obstacleName,Barrel
ZombieBarrelRoller,PUSH_OBSTACLES,obstacleHealth,1200
ZombieBarrelRoller,PUSH_OBSTACLES,obstacleCount,1
ZombieBarrelRoller,PUSH_OBSTACLES,spacingTiles,1
ZombieBarrelRoller,PUSH_OBSTACLES,blocksStraightProjectiles,true
ZombieBarrelRoller,PUSH_OBSTACLES,crushesPlants,true
ZombieBarrelRoller,PUSH_OBSTACLES,meltsOnFire,false
ZombieBarrelRoller,PUSH_OBSTACLES,spawnOnDestroyZombieId,ZombieImp
ZombieBarrelRoller,PUSH_OBSTACLES,spawnOnDestroyCount,2
ZombieBarrelRoller,PUSH_OBSTACLES,spawnOnDestroySpacingTiles,0.35
